Registered,Project title,Host parties,Other Parties,Methodology,Reductions,Ref
01/10/2005,"LOS ALGARROBOS HYDROELECTRIC PROJECT (PANAMA)",Panama,Spain,AMS-I.D. ver. 5,37213,0081
13/10/2005,"Rio Azul landfill gas and utilization project in Costa Rica",Costa Rica,Netherlands,AM0011,156084,0037
23/10/2005,"Santa Rosa ",Peru,Canada/ Netherlands/ Italy/ Denmark/ Finland/ Austria/ Luxembourg/ Belgium/ Sweden/ Germany/ Switzerland/ Japan/ Norway/ Spain,AMS-I.D. ver. 5,13845,0088
23/10/2005,"DSL Biomass based Power Project at Pagara",India,Italy/ Germany/ United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 5,17424,0095
24/10/2005,"APCL proposed 7.5 MW Mustard Crop Residue based Power Project",India,Austria,AMS-I.D. ver. 5,40313,0082
29/10/2005,"Essaouira wind power project",Morocco,Switzerland/ France,ACM0002 ver. 2,156026,0030
30/10/2005,"Small Hydropower Projects at Alupola and  Badulu Oya.",Sri Lanka,Sweden/ Netherlands,AMS-I.D. ver. 5,25109,0100
30/10/2005,"Hapugastenne and Hulu Ganga Small Hydropower Projects.",Sri Lanka,Sweden/ Netherlands,AMS-I.D. ver. 5,44842,0085
30/10/2005,"Magal Ganga Small Hydropower Project",Sri Lanka,Sweden/ Netherlands,AMS-I.D. ver. 5,34179,0084
06/11/2005,"4.5 MW Maujhi Grid-connected SHP in Himachal Pradesh, India",India,Germany,AMS-I.D. ver. 5,13168,0098
14/11/2005,"Poechos I Project",Peru,Sweden/ Netherlands,ACM0002 ver. 2,31463,0086
24/11/2005,"Onyx Landfill Gas Recovery Project – Trémembé, Brazil",Brazil,Netherlands/ France,AM0011,70063,0027
26/11/2005,"Cuyamel Hydroelectric Project",Honduras,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 6,25353,0083
27/11/2005,"N2O Emission Reduction in Onsan, Republic of Korea",Republic of Korea,Switzerland/ Japan/ Netherlands/ United Kingdom of Great Britain and Northern Ireland/ France,AM0021,9150000,0099
28/11/2005,"Nubarashen Landfill Gas Capture and Power Generation Project in Yerevan",Armenia,Japan/ United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 5/ ACM0001,135000,0069
03/12/2005,"JCT Phagwara Small Scale Biomass Project",India,Switzerland/ Austria/ United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 6,27087,0113
03/12/2005,"Cosmito landfill gas project (Improvement of Gas Extraction System in Old Cosmito Dump)",Chile,Switzerland,ACM0001 ver. 1,84724,0097
03/12/2005,"Copiulemu landfill gas project (Center for the Storage and Transfer, Recovery and Control of Waste, Treatment and Disposal of Industrial and Household Waste)",Chile,Switzerland,ACM0001 ver. 1,90125,0096
05/12/2005,"AWMS GHG Mitigation Project, MX05-B-02, Sonora, México",Mexico,Switzerland/ Netherlands/ United Kingdom of Great Britain and Northern Ireland,AM0016 ver. 2,121689,0105
09/12/2005,"Granja Becker GHG Mitigation Project",Brazil,Canada/ Switzerland/ United Kingdom of Great Britain and Northern Ireland,AM0016 ver. 2,5086,0108
10/12/2005,"AWMS GHG Mitigation Project, MX05-B-01, México",Mexico,Switzerland/ Netherlands/ United Kingdom of Great Britain and Northern Ireland,AM0016 ver. 2,147380,0104
10/12/2005,"Bagepalli CDM Biogas Programme",India,Switzerland/ Netherlands/ Germany/ France,AMS-I.C. ver. 5,19553,0121
11/12/2005,"3.5 MW Rice Husk based Cogeneration Project at Nahar Spinning Mills Ltd.",India,Germany,AMS-I.C. ver. 6,22267,0117
16/12/2005,"3.5 MW Rice Husk based Cogeneration Project at Oswal Woolen Mills Ltd.",India,Germany,AMS-I.C. ver. 6,22267,0118
16/12/2005,"10.25MW Chunchi Doddi Grid-connected SHP in Karnataka, India",India,Germany,AMS-I.D. ver. 5,25490,0103
17/12/2005,"""Las Vacas"" Hydroelectric project",Guatemala,Spain,AM0005,90363,0073
17/12/2005,"24 MW Biomass Based Renewable Electricity Generation & Consumption in Ropar, Punjab, India",India,Switzerland,AM0004 ver. 2,25937,0109
18/12/2005,"Yuzaikou Small Hydropower Station",China,Sweden/ Austria/ United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 6,40480,0126
18/12/2005,"Nanjing Tianjingwa Landfill Gas to Electricity Project ",China,Switzerland/ United Kingdom of Great Britain and Northern Ireland,ACM0001/ AMS-I.D. ver. 6,246107,0071
24/12/2005,"PROJECT FOR THE REFURBISHMENT AND UPGRADING OF DOLEGA HYDROPOWER PLANT (PANAMA).",Panama,Spain,AMS-I.D. ver. 6,12167,0135
24/12/2005,"Project for the Refurbishment and Upgrading of Macho de Monte Hydropower Plant (Panama)",Panama,Spain,AMS-I.D. ver. 6,10963,0133
24/12/2005,"GHG emission reduction by thermal oxidation of HFC 23 at refrigerant (HCFC-22) manufacturing facility of SRF Ltd",India,Netherlands/ Italy/ France/ Germany/ United Kingdom of Great Britain and Northern Ireland/ Switzerland,AM0001 ver. 3,3833566,0115
24/12/2005,"18 MW Biomass Power Project in Tamilnadu, India",India,Sweden/ United Kingdom of Great Britain and Northern Ireland,AM0004 ver. 2,66821,0111
25/12/2005,"BII NEE STIPA",Mexico,Spain,ACM0002 ver. 2,309979,0107
25/12/2005,"N2O Emission Reduction in Paulínia, SP, Brazil",Brazil,Switzerland/ Japan/ Netherlands/ United Kingdom of Great Britain and Northern Ireland/ France,AM0021,5961165,0116
25/12/2005,"20 MW Kabini Hydro Electric Power Project, SKPCL, India",India,Switzerland/ United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 2,44968,0087
27/12/2005,"Biogas Support Program - Nepal (BSP-Nepal)  Activity-1 ",Nepal,Canada/ Netherlands/ Italy/ Denmark/ Finland/ Sweden/ Luxembourg/ Switzerland/ Austria/ Germany/ Belgium/ Japan/ Norway/ Spain,AMS-I.C. ver. 6,46990,0136
27/12/2005,"Biogas Support Program - Nepal (BSP-Nepal)  Activity-2 ",Nepal,Canada/ Netherlands/ Italy/ Denmark/ Finland/ Sweden/ Luxembourg/ Switzerland/ Austria/ Germany/ Belgium/ Japan/ Norway/ Spain,AMS-I.C. ver. 6,46893,0139
29/12/2005,"Antonio Moran Wind Power Plant Project in Patagonia Region, Argentina",Argentina,Japan,AMS-I.D. ver. 6,26928,0130
Withdrawn,"KUNAK BIO ENERGY PROJECT",Malaysia,,AMS-I.D. ver. 6,51200,0132
06/01/2006,"Olavarría Landfill Gas Recovery Project",Argentina,Canada/ Netherlands/ Italy/ Denmark/ Finland/ Sweden/ Luxembourg/ Switzerland/ Austria/ Germany/ Belgium/ Japan/ Norway/ Spain,ACM0001 ver. 2,18688,0140
,"Agua Fresca Multipurpose and environmental services project",Colombia,Austria,AMS-I.D. ver. 6,27510,0122
08/01/2006,"AWMS GHG Mitigation Project MX05-B-03, Sonora, Mexico",Mexico,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AM0016 ver. 2,127914,0120
09/01/2006,"LA GLORIA Hydroelectric Project",Honduras,United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 6,20464,0154
09/01/2006,"AWMS Methane Recovery Project MX05-S-11, Baja California, México",Mexico,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AMS-III.D. ver. 6,21601,0153
14/01/2006,"Methane Extraction and Fuel Conservation Project at Tamil Nadu Newsprint and Paper Limited (TNPL), Kagithapuram, Karur District, Tamil Nadu",India,Switzerland/ Netherlands,AM0013 ver. 2,35860,0124
14/01/2006,"Energy efficiency through installation of modified CO2 removal system in Ammonia Plant",India,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AM0018,24449,0123
15/01/2006,"RSCL cogeneration expansion project",India,Switzerland/ Austria/ United Kingdom of Great Britain and Northern Ireland,AM0015,80157,0127
20/01/2006,"Moldova Biomass Heating in Rural Communities (Project Design Document No. 1)",Republic of Moldova,Canada/ Netherlands/ Italy/ Denmark/ Finland/ Austria/ Luxembourg/ Belgium/ Sweden/ Germany/ Switzerland/ Japan/ Norway/ Spain,AMS-II.E. ver. 6/ AMS-III.B. ver. 6,17888,0159
20/01/2006,"Moldova Biomass Heating in Rural Communities (Project Design Document No. 2)",Republic of Moldova,Canada/ Netherlands/ Italy/ Denmark/ Finland/ Sweden/ Luxembourg/ Switzerland/ Austria/ Germany/ Belgium/ Japan/ Norway/ Spain,AMS-II.E. ver. 6/ AMS-III.B. ver. 6,17888,0160
21/01/2006,"Matanzas Hydroelectric Plant",Guatemala,Switzerland,AMS-I.D. ver. 6,38493,0172
22/01/2006,"UTE Barreiro S.A. Renewable Electricity Generation Project",Brazil,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 6,48565,0143
23/01/2006,"San Isidro Hydroelectric Plant",Guatemala,Switzerland,AMS-I.D. ver. 6,13389,0174
23/01/2006,"Brazil MARCA Landfill Gas to Energy Project",Brazil,Japan/ United Kingdom of Great Britain and Northern Ireland,AM0003 ver. 3,231405,0137
29/01/2006,"Moldova Energy Conservation and Greenhouse Gases Emissions Reduction",Republic of Moldova,Canada/ Netherlands/ Italy/ Denmark/ Finland/ Sweden/ Luxembourg/ Switzerland/ Austria/ Germany/ Belgium/ Japan/ Norway/ Spain,AMS-II.E. ver. 6/ AMS-III.B. ver. 6,11567,0173
30/01/2006,"GHG capture and combustion from swine manure management systems at Faxinal dos Guedes and Toledo",Brazil,United Kingdom of Great Britain and Northern Ireland,AM0006,24277,0047
03/02/2006,"Rice Husk based Cogeneration project at Shree Bhawani Paper Mills Limited (SBPML), Rae Bareli, Uttar Pradesh, India",India,Belgium/ United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 6,14744,0195
04/02/2006,"Rang Dong Oil Field Associated Gas Recovery and Utilization Project",Viet Nam,Switzerland/ Japan/ United Kingdom of Great Britain and Northern Ireland,AM0009 ver. 2,677000,0152
04/02/2006,"Sibimbe Hydroelectric Project",Ecuador,Netherlands,ACM0002 ver. 3,57870,0142
04/02/2006,"Abanico Hydroelectric Project",Ecuador,Netherlands/ Germany,ACM0002 ver. 3,156660,0141
06/02/2006,"CDM SOLAR COOKER PROJECT Aceh 1",Indonesia,Germany,AMS-I.C. ver. 6,3500,0218
06/02/2006,"Hiriya Landfill Project",Israel,United Kingdom of Great Britain and Northern Ireland,ACM0001 ver. 2,93452,0147
06/02/2006,"AWMS GHG Mitigation Project, MX05-B-07, Sonora, México",Mexico,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AM0016 ver. 2,120925,0150
09/02/2006,"Rice Husk Based Power Project",India,Switzerland,AMS-I.D. ver. 7,21076,0186
10/02/2006,"AWMS GHG Mitigation Project, MX05-B-06, Jalisco, México",Mexico,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AM0016 ver. 2,147953,0162
10/02/2006,"AWMS GHG Mitigation Project, MX05-B-09, Nuevo León, México",Mexico,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AM0016 ver. 2,20984,0163
10/02/2006,"AWMS GHG Mitigation Project, MX05-B-05, Jalisco, México",Mexico,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AM0016 ver. 2,83010,0161
11/02/2006,"6MW Somanamaradi grid connected SHP in Karnataka, India",India,Germany,AMS-I.D. ver. 7,16977,0227
11/02/2006,"Koblitz - Piratini Energia S. A - Biomass Power Plant – Small Scale CDM Project",Brazil,Switzerland/ Japan/ United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 7/ AMS-III.E. ver. 7,172763,0228
11/02/2006,"CAMIL Itaqui Biomass Electricity Generation Project",Brazil,Switzerland/ Netherlands/ Germany,AMS-I.D. ver. 7/ AMS-III.E. ver. 7,57341,0231
19/02/2006,"El Molle – Landfill gas (LFG) capture project",Chile,Switzerland/ Japan,ACM0001 ver. 2,160130,0170
19/02/2006,"Nagda Hills Wind Energy Project (India)",India,Japan,AMS-I.D. ver. 6,11120,0112
20/02/2006,"“Optimal Utilization of Clinker” project at Shree Cement Limited (SCL), Beawar, Rajasthan",India,Germany/ United Kingdom of Great Britain and Northern Ireland,ACM0005,68014,0183
20/02/2006,"Nova América Bagasse Cogeneration Project (NABCP)",Brazil,Switzerland/ Sweden,AM0015,12027,0179
20/02/2006,"Bandeirantes Landfill Gas to Energy Project (BLFGE)",Brazil,Switzerland/ Netherlands/ Germany,ACM0001 ver. 2,1070649,0164
20/02/2006,"Santa Elisa Bagasse Cogeneration Project (SEBCP)",Brazil,Sweden,AM0015,45801,0178
20/02/2006,"Alta Mogiana Bagasse Cogeneration Project (AMBCP)",Brazil,Canada/ Netherlands/ Finland/ France/ Sweden/ Germany/ United Kingdom of Great Britain and Northern Ireland/ Japan/ Norway,AM0015,12024,0181
24/02/2006,"Santa Cândida Bagasse Cogeneration Project (SCBCP)",Brazil,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AM0015,10604,0065
24/02/2006,"Biomass Energy Plant-Lumut.  ",Malaysia,Denmark,AMS-I.C. ver. 7,32545,0249
25/02/2006,"3.75 MW Small Scale Grid Connected “Demonstration Wind Farm Project” at Chalkewadi, District Satara, State Mahararashtra, India.",India,Switzerland,AMS-I.D. ver. 7,6890,0237
26/02/2006,"Pesqueiro Energia Small Hydroelectric Project (PESHP)",Brazil,Switzerland/ Japan/ United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 7,42009,0242
02/03/2006,"Yojoa Small Hydropower Project",Honduras,Finland,AMS-I.D. ver. 6,1069,0157
02/03/2006,"Zacapa Mini Hydro Station Project",Honduras,Finland,AMS-I.D. ver. 7,915,0235
02/03/2006,"CECECAPA Small Hydroelectric Project ",Honduras,Finland,AMS-I.D. ver. 6,1877,0156
02/03/2006,"Rithwik 6 MW Renewable Sources Biomass Power Project",India,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 7,13370,0253
03/03/2006,"Jalles Machado Bagasse Cogeneration Project (JMBCP)",Brazil,Netherlands,AM0015,8955,0187
03/03/2006,"Cerradinho Bagasse Cogeneration Project (CBCP)",Brazil,United Kingdom of Great Britain and Northern Ireland,AM0015,34742,0203
03/03/2006,"Southeast Caeté Mills Bagasse Cogeneration Project (SECMBCP)",Brazil,Switzerland/ Japan,AM0015,30326,0206
03/03/2006,"Bioenergia Cogeradora S.A. (“Bioenergia”), corresponding to the Santo Antonio Mill (USA – from the Portuguese “Usina Santo Antônio”) and the São Francisco mill (USFR – from the Portuguese “Usina São Francisco”)",Brazil,Switzerland/ Japan/ United Kingdom of Great Britain and Northern Ireland,AM0015,20840,0201
03/03/2006,"Cote small-scale hydropower plant",Costa Rica,Canada/ Netherlands/ Finland/ France/ Sweden/ Germany/ United Kingdom of Great Britain and Northern Ireland/ Japan/ Norway,AMS-I.D. ver. 7,6431,0251
03/03/2006,"AWMS GHG Mitigation Project, MX05-B-08, Sonora, México",Mexico,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AM0016 ver. 2,51408,0225
03/03/2006,"Colombo Bagasse Cogeneration Project (CBCP)",Brazil,Switzerland/ Sweden/ Netherlands,AM0015,28018,0180
03/03/2006,"Serra Bagasse Cogeneration Project (SBCP)",Brazil,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AM0015,6644,0213
03/03/2006,"Vale do Rosário Bagasse Cogeneration (VRBC)",Brazil,Sweden/ United Kingdom of Great Britain and Northern Ireland,AM0015,25277,0199
03/03/2006,"ESTRE’s Paulínia Landfill Gas Project (EPLGP)",Brazil,Switzerland/ France/ Norway/ United Kingdom of Great Britain and Northern Ireland,AM0003 ver. 3,212558,0165
03/03/2006,"HFC23 Decomposition Project of Zhejiang Juhua Co., Ltd, P. R. China",China,Japan,AM0001 ver. 3,5789682,0193
03/03/2006,"AWMS GHG Mitigation Project, MX05-B-04, Jalisco, México",Mexico,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AM0016 ver. 2,73927,0196
03/03/2006,"Lucélia Bagasse Cogeneration Project (LBCP)",Brazil,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AM0015,14362,0043
03/03/2006,"Coinbra-Cresciumal Bagasse Cogeneration Project (CCBCP)",Brazil,Switzerland,AM0015,17481,0215
03/03/2006,"AWMS GHG Mitigation Project, MX05-B-10, Aguascalientes, Guanajuato and Queretaro, México",Mexico,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AM0016 ver. 2,27812,0197
03/03/2006,"Coruripe Bagasse Cogeneration Project (CBCP)",Brazil,,AM0015,5784,0185
03/03/2006,"Campo Florido Bagasse Cogeneration Project (CFBCP)",Brazil,United Kingdom of Great Britain and Northern Ireland,AM0015,10175,0208
03/03/2006,"Meizhou Landfills Gas Recovery and Utilization as Energy",China,Austria,ACM0001 ver. 2,286525,0176
03/03/2006,"AWMS GHG Mitigation Project, MX05-B-12, Sonora, México",Mexico,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AM0016 ver. 2,63562,0204
04/03/2006,"Alto Alegre Bagasse Cogeneration Project (AABCP)",Brazil,Switzerland,AM0015,9674,0207
04/03/2006,"Iturama Bagasse Cogeneration Project (IBCP)",Brazil,United Kingdom of Great Britain and Northern Ireland,AM0015,12841,0212
06/03/2006,"Termoelétrica Santa Adélia Cogeneration Project (TSACP)",Brazil,Switzerland/ Netherlands/ United Kingdom of Great Britain and Northern Ireland,AM0015,22204,0200
06/03/2006,"Lawley Fuel Switch Project",South Africa,Netherlands,AM0008,19159,0177
06/03/2006,"Cruz Alta Bagasse Cogeneration Project (CABCP)",Brazil,Switzerland,AM0015,10061,0216
06/03/2006,"San Carlos Bagasse Cogeneration Project (SCBCP)",Ecuador,Switzerland,AM0015,43731,0210
06/03/2006,"Zillo Lorenzetti Bagasse Cogeneration Project (ZLBC)",Brazil,Switzerland/ Netherlands/ United Kingdom of Great Britain and Northern Ireland,AM0015,53774,0202
06/03/2006,"Grid connected bagasse based cogeneration project of Ugar Sugar Works Limited (USWL).",India,Switzerland/ Sweden/ France,AM0015,63934,0189
Rejected,"Grid-connected electricity generation from renewable sources at Supa, Taluka Parner, Dist. Ahmednagar by M/s Bajaj Auto Ltd. (BAL) using wind Power.",India,,ACM0002 ver. 4,33262,0224
09/03/2006,"Central Energética do Rio Pardo Cogeneration Project (CERPA)",Brazil,Switzerland/ Netherlands/ United Kingdom of Great Britain and Northern Ireland,AM0015,16290,0209
09/03/2006,"Moema Bagasse Cogeneration Project (MBCP)",Brazil,Sweden/ United Kingdom of Great Britain and Northern Ireland,AM0015,13139,0190
09/03/2006,"Equipav Bagasse Cogeneration Project (EBCP)",Brazil,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AM0015,31821,0205
09/03/2006,"Caieiras landfill gas emission reduction",Brazil,Switzerland/ Japan/ Norway,ACM0001 ver. 2,770932,0171
12/03/2006,"Landfill Gas to Energy Facility at the Nejapa Landfill Site, El Salvador",El Salvador,Canada/ Switzerland/ Netherlands/ Luxembourg,ACM0001 ver. 2,183725,0167
13/03/2006,"Shandong Dongyue HFC23 Decomposition Project ",China,Switzerland/ Japan/ United Kingdom of Great Britain and Northern Ireland,AM0001 ver. 3,10110117,0232
17/03/2006,"AWMS GHG Mitigation Project, MX05-B-13, Sonora, México",Mexico,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AM0016 ver. 2,86102,0240
Rejected,"Grid-connected electricity generation from renewable sources at Satara by M/s Bajaj Auto Ltd. (BAL) using wind Power.",India,,ACM0002 ver. 4,74413,0221
19/03/2006,"Wigton Wind Farm Project (WWF)",Jamaica,Netherlands/ United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 4,52540,0239
20/03/2006,"La Higuera Hydroelectric Project, Chile",Chile,Germany/ Norway,ACM0002 ver. 4,477586,0248
20/03/2006,"Gangwon Wind Park Project",Republic of Korea,Japan,ACM0002 ver. 4,149536,0222
23/03/2006,"Zhangbei Manjing Windfarm Project",China,Switzerland/ Netherlands/ Germany/ United Kingdom of Great Britain and Northern Ireland,AM0005,94095,0233
31/03/2006,"Lepanto Landfill Gas Management Project",Chile,Japan,ACM0001 ver. 2,400350,0254
31/03/2006,"Nueva Aldea Biomass Power Plant Phase 1",Chile,Switzerland/ United Kingdom of Great Britain and Northern Ireland,ACM0006,106122,0258
31/03/2006,"AWMS GHG Mitigation Project, MX05-B-14, Jalisco, México",Mexico,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AM0016 ver. 2,97405,0257
01/04/2006,"Jepirachi Wind Power Project",Colombia,Canada/ Netherlands/ Finland/ France/ Sweden/ Germany/ United Kingdom of Great Britain and Northern Ireland/ Japan/ Norway,ACM0002 ver. 3,18028,0194
06/04/2006,"Usinas Itamarati Cogeneration Project",Brazil,Japan/ United Kingdom of Great Britain and Northern Ireland,AM0015,7990,0211
07/04/2006,"Replacement of Fossil Fuel by Palm Kernel Shell Biomass in the production of Portland Cement",Malaysia,France,ACM0003,61946,0247
08/04/2006,"San Jacinto Tizate geothermal project",Nicaragua,Switzerland/ United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 4,280703,0198
14/04/2006,"Thermal Efficiency Improvement Initiatives in Coal Fired Boiler System",India,,AMS-II.B. ver. 7,5424,0266
14/04/2006,"14.8 MW small-scale grid connected wind power project in Jaisalmer state Rajasthan, India by RSMML",India,Japan/ France/ United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 7,13352,0243
14/04/2006,"Aleo Manali 3 MW Small Hydroelectric Project, Himachal Pradesh, India",India,Switzerland/ Italy/ United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 7,13614,0244
14/04/2006,"Demand-side energy efficiency programme in the ‘Humidification Towers’ of Jaya Shree Textiles",India,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AMS-II.C. ver. 7,3393,0255
14/04/2006,"Energy efficiency projects-Steam system upgradation at the manufacturing unit of Birla tyres.",India,,AMS-II.D. ver. 7,4585,0262
14/04/2006,"5 MW Wind Power Project at Baramsar and Soda Mada, district Jaisalmer, Rajasthan, India.",India,Italy,AMS-I.D. ver. 7,5804,0267
16/04/2006,"Waste heat based 7 MW Captive Power Project Godawari Power and Ispat Ltd (GPIL)",India,Switzerland/ Sweden/ Netherlands/ United Kingdom of Great Britain and Northern Ireland,ACM0004,17828,0264
17/04/2006,"Energy efficiency through steam optimisation projects at RIL, Hazira,",India,,AM0018,23391,0261
Rejected,"Lazaro Energy Efficiency Project",Mexico,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AMS-II.D. ver. 7,6414,0311
22/04/2006,"BT Geradora de Energia Elétrica S. A. – Ferradura Small Hydro Power Plant – Small Scale CDM Project",Brazil,Switzerland/ Japan/ United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 7,23496,0229
22/04/2006,"12.3 MW wind energy project in Tamil Nadu, India",India,Switzerland,AMS-I.D. ver. 7,14416,0277
Rejected,"ElDorado Energy Efficiency Project",Mexico,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AMS-II.D. ver. 7,11249,0317
23/04/2006,"Sahabat Empty Fruit Bunch Biomass Project",Malaysia,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AMS-I.C. ver. 7,53986,0288
23/04/2006,"Lages Methane Avoidance Project",Brazil,Canada/ Netherlands/ Finland/ France/ Sweden/ Germany/ United Kingdom of Great Britain and Northern Ireland/ Switzerland/ Japan/ Norway,AMS-III.E. ver. 7,220439,0268
27/04/2006,"JCT Hoshiarpur Small Scale Biomass Project",India,Switzerland/ Austria/ United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 7,31270,0333
28/04/2006,"“Photovoltaic kits to light up rural households in Morocco”",Morocco,France,AMS-I.A. ver. 6,38636,0182
30/04/2006,"Dolowal, Salar and Bhanubhura Mini Hydroelectric Projects",India,United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 7,21026,0328
30/04/2006,"Lohgarh, Chakbhai and Sidhana Mini Hydroelectric Projects",India,United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 7,25347,0327
